"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20120101,20120331,64824000000,,,,,,,,,,,1000000,926000000,,,65751000000,31098000000,,,,,,2610000000,11544000000,3454000000,,,48706000000,,,17045000000,73000000,19000000,55000000,444000000,363000000,123000000,,,1077000000,7835000000,,,,,311000000,,307000000,8453000000,,,-7376000000,364000000,,312000000,,,,,676000000,4368000000,2028000000,1314000000,,,,6396000000,,,-5720000000,2000000,,,3951000000,61437000000,,,65388000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65388000000,61437000000,,,,,3951000000
20110101,20111231,237665000000,,,,,,,,,,,8000000,7071000000,,,244744000000,112423000000,,,,,,14335000000,39677000000,5445000000,,,171880000000,,,72864000000,3000000000,274000000,50000000,,846000000,,,5241000000,9411000000,44972000000,90000000,,1666000000,,,,16565000000,63293000000,,,-53882000000,2005000000,,4671000000,,52000000,,455000000,7183000000,20814000000,21119000000,2983000000,,,,41933000000,,,-34750000000,-7000000,,,-15775000000,77212000000,,,61437000000,51507000000,,,166000000,14550000000,,1010000000,529000000,,,160000000,,-114000000,,,2372000000,-409000000,-1521000000,,-727000000,-2743000000,6844000000,,,,,1240000000,72864000000,,,,61437000000,77212000000,,,,,-15775000000
20110101,20110930,175873000000,,,,,,,,,,,1000000,14791000000,,,190665000000,76777000000,,,,,,8517000000,30417000000,2212000000,,,117923000000,,,72742000000,3000000000,98000000,24000000,,681000000,,,2785000000,6588000000,36821000000,,,,,,,18491000000,55312000000,,,-48724000000,1550000000,,7893000000,,52000000,,455000000,9950000000,16757000000,19530000000,2203000000,,,,36287000000,,,-26337000000,4000000,,,-2315000000,77212000000,,,74897000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74897000000,77212000000,,,,,-2315000000
20110101,20110630,113688000000,,,,,,,,,,,1000000,16987000000,,,130676000000,49718000000,,,,,,5713000000,20094000000,1776000000,,,77301000000,,,53375000000,3000000000,79000000,10000000,,512000000,,,2779000000,6380000000,17470000000,,,,,,,17034000000,34504000000,,,-28124000000,693000000,,2486000000,,52000000,,455000000,3686000000,13845000000,18365000000,1879000000,,,,32210000000,,,-28524000000,6000000,,,-3267000000,77212000000,,,73945000000,25460000000,,,21000000,6885000000,,507000000,212000000,,,-2000000,24000000,37000000,,,868000000,-202000000,-712000000,,4000000,-3430000000,22281000000,,,,,1422000000,53375000000,,,,73945000000,77212000000,,,,,-3267000000
20110101,20110331,52445000000,0,0,0,0,0,0,0,0,0,0,2000000,746000000,0,0,53193000000,21478000000,0,0,0,0,0,2417000000,9079000000,551000000,0,0,33525000000,0,0,19668000000,0,32000000,2000000,0,270000000,408000000,0,0,712000000,6818000000,0,0,7666000000,0,353000000,0,0,14837000000,0,0,-14125000000,325000000,0,2146000000,0,40000000,0,0,2511000000,10448000000,1622000000,652000000,0,0,0,12070000000,0,0,-9559000000,3000000,0,0,-4013000000,74517000000,0,0,70504000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70504000000,74517000000,0,0,0,0,-4013000000
20100101,20101231,174929000000,,,,,,,,,,,64000000,1660000000,,,176653000000,73385000000,,,,,,10519000000,30337000000,3035000000,,,117276000000,,,59377000000,,428000000,100000000,473000000,1174000000,14076000000,,858000000,17109000000,27534000000,3347000000,,,,9230000000,,202000000,40313000000,,,-23204000000,355000000,,29638000000,,173000000,,,30166000000,42097000000,16839000000,2732000000,,,,58936000000,,,-28770000000,-2000000,,,7401000000,65944000000,,,73345000000,42506000000,,,330000000,12854000000,,1013000000,271000000,,,813000000,,-149000000,,,2462000000,-630000000,-120000000,,-3448000000,-2859000000,6334000000,,,,,,59377000000,,,,73345000000,65944000000,,,,,7401000000
20100101,20100930,127425000000,0,0,0,0,0,0,0,0,0,0,90000000,908000000,0,0,128423000000,48897000000,0,0,0,0,0,5972000000,25388000000,2125000000,0,0,82382000000,0,0,46041000000,0,46000000,77000000,473000000,806000000,0,0,11258000000,12660000000,18795000000,294000000,0,0,0,0,0,8711000000,27800000000,0,0,-15140000000,275000000,0,28127000000,0,108000000,0,0,28510000000,29398000000,14706000000,1503000000,0,0,0,44104000000,0,0,-15594000000,-13000000,0,0,15294000000,65944000000,0,0,81238000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81238000000,65944000000,0,0,0,0,15294000000
20100101,20100630,80405000000,,,,,,,,,,,64000000,556000000,,,81025000000,28919000000,,,,,,4079000000,15751000000,1720000000,,,50469000000,,,30556000000,,46000000,73000000,473000000,395000000,7407000000,,,8394000000,12855000000,281000000,,,,8670000000,,,21806000000,,,-13412000000,77000000,,20862000000,,73000000,,,21012000000,21037000000,3165000000,1343000000,,,,24202000000,,,-3190000000,-30000000,,,13924000000,65944000000,,,79868000000,21568000000,,,-1000000,6131000000,,388000000,152000000,,,-18000000,4000000,-82000000,,,1333000000,-315000000,,-134000000,-1537000000,-1250000000,3503000000,,,,,814000000,30556000000,,,,79868000000,65944000000,,,,,13924000000
20100101,20100331,37548000000,,,,,,,,,,,4000000,208000000,,,37760000000,13338000000,,,,,,2197000000,8760000000,437000000,,,24732000000,,,13028000000,,1000000,4000000,,205000000,,,5488000000,5698000000,6130000000,1138000000,,,,,,10344000000,17612000000,,,-11914000000,26000000,,8419000000,,,,,8445000000,9299000000,1504000000,557000000,,,,10803000000,,,-2358000000,-5000000,,,-1249000000,65944000000,,,64695000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64695000000,65944000000,,,,,-1249000000
20090101,20091231,138574000000,,,,,,,,,,,14000000,1698000000,,,140286000000,47555000000,,,,,,9018000000,25079000000,2707000000,,,84359000000,,,55927000000,5000000,408000000,141000000,,1117000000,,,,15252000000,31537000000,151000000,,,,,,,52355000000,,0,-37103000000,1994000000,,49255000000,,129000000,,,51378000000,47140000000,16223000000,,,,,63363000000,,0,-11985000000,51000000,,,6890000000,59054000000,,,65944000000,34745000000,,,547000000,11625000000,,669000000,137000000,,,-65000000,334000000,178000000,,,1860000000,-700000000,-101000000,,-37000000,-868000000,6783000000,,,,,,55927000000,,,,65944000000,59054000000,,,,,6890000000
