"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20120101,20120331,59526000000,59526000000,,,,,,,,42675000000,37564000000,,,,,,,,,,,1264000000,192000000,3195000000,357000000,103000000,,,-61000000,51000000,32000000,,,,,,,,16841000000,139000000,173000000,6000000,,,16807000000,3601000000,,,,13206000000,11183000000,,2023000000,,,0.56,0.56,66000000,,,13272000000,11255000000,2017000000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20111231,208197000000,208197000000,,,,,,,,142945000000,122649000000,,,,,,,,,,,4348000000,1129000000,12281000000,2372000000,166000000,,,114000000,409000000,286000000,,,,,,,,65775000000,392000000,1074000000,174000000,,,65093000000,13586000000,,,,51507000000,44822000000,,6685000000,,,2.25,2.25,-61000000,,,51446000000,44768000000,6678000000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110930,153631000000,153631000000,,,,,,,,103363000000,88934000000,,,,,,,,,,,3289000000,875000000,8596000000,1652000000,17000000,,,21000000,293000000,192000000,,,,,,,,50582000000,216000000,807000000,37000000,,,49991000000,10559000000,,,,39432000000,34183000000,322000000,5249000000,,,1.72,1.72,-138000000,,,39294000000,34052000000,5242000000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110630,100692000000,100692000000,,,,,,,,66255000000,57127000000,,,,,,,,,,,2180000000,524000000,5535000000,868000000,21000000,,,-37000000,202000000,123000000,,,,,,,,34602000000,158000000,725000000,24000000,,,34035000000,8575000000,,,,25460000000,21868000000,322000000,3592000000,,,1.1,1.1,118000000,,,25578000000,21991000000,3587000000,,,,,,,,,,,,,,,,,,,,,,,,
20110101,20110331,47389000000,47389000000,,,,,,,,31514000000,27145000000,,,,,,,,,,,1064000000,309000000,2539000000,453000000,4000000,,,-56000000,89000000,58000000,,,,,,,,15908000000,65000000,81000000,,,,15892000000,3717000000,,,,12175000000,10467000000,,1708000000,,,0.53,0.53,47000000,,,12222000000,10514000000,1708000000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20101231,152063000000,152063000000,,,,,,,,99208000000,81712000000,,,,,,,,,,,3734000000,836000000,10134000000,2462000000,330000000,,,149000000,630000000,618000000,,,,,,,,53634000000,398000000,728000000,147000000,,,53304000000,10798000000,,,,42506000000,37187000000,,5319000000,,,1.87,1.87,68000000,,,42574000000,37260000000,5314000000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20100930,110013000000,110013000000,,,,,,,,69454000000,57785000000,,,,,,,,,,,2761000000,529000000,6427000000,1954000000,-2000000,,,210000000,444000000,477000000,,,,,,,,41213000000,227000000,189000000,8000000,,,41251000000,8582000000,,,,32669000000,28355000000,,4314000000,,,1.43,1.43,-152000000,,,32517000000,28204000000,4313000000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20100630,69731000000,69731000000,,,,,,,,42922000000,35402000000,,,,,,,,,,,1812000000,340000000,4036000000,1333000000,-1000000,,,82000000,315000000,331000000,,,,,,,,27206000000,141000000,158000000,4000000,,,27189000000,5621000000,,,,21568000000,18632000000,,2936000000,,,0.94,0.94,-287000000,,,21281000000,18346000000,2935000000,,,,,,,,,,,,,,,,,,,,,,,,
20100101,20100331,32805000000,32805000000,,,,,,,,20276000000,16502000000,,,,,,,,,,,929000000,156000000,2173000000,517000000,-1000000,,,25000000,132000000,131000000,,,,,,,,12686000000,40000000,29000000,9000000,,,12697000000,2575000000,,,,10122000000,8726000000,,1396000000,,,0.44,0.44,-64000000,,,10058000000,8662000000,1396000000,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20091231,121312000000,121312000000,,,,,,,,77645000000,61486000000,,,,,,,,,,,3786000000,820000000,9146000000,1860000000,547000000,,,-178000000,700000000,,,,,,,,,44189000000,254000000,542000000,,,,43901000000,9156000000,,,,34745000000,30276000000,,4469000000,,,1.52,1.52,724000000,,,35469000000,31001000000,4468000000,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20090930,88153000000,88153000000,0,0,0,0,0,,,53716000000,42439000000,0,0,0,0,0,0,0,0,0,0,2660000000,571000000,6382000000,1362000000,302000000,,,-92000000,433000000,0,0,0,0,0,0,,,34778000000,144000000,287000000,0,,,34635000000,6669000000,0,,,27966000000,24720000000,,3246000000,,,1.24,1.24,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20090630,57083000000,57083000000,,,,,,,,34233000000,27181000000,,,,,,,,,,,1775000000,323000000,3959000000,693000000,302000000,,,-230000000,318000000,293000000,,,,,,,,22938000000,111000000,195000000,153000000,,,22854000000,4728000000,,,,18126000000,15976000000,,2150000000,,,0.8,0.8,347000000,,,18473000000,16321000000,2152000000,,,,,,,,,,,,,,,,,,,,,,,,
20090101,20090331,27157000000,27157000000,,,,,,,,16113000000,12651000000,,,,,,,,,,,964000000,168000000,2125000000,83000000,122000000,,,-183000000,130000000,129000000,,,,,,,,10991000000,12000000,28000000,5000000,,,10975000000,1845000000,,,,9130000000,7921000000,,1209000000,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080101,20081231,107133000000,107133000000,0,0,0,0,0,,,70957000000,54111000000,0,0,0,0,0,0,0,0,0,0,2717000000,673000000,8302000000,3865000000,1289000000,,,472000000,853000000,0,0,0,0,0,0,,,37501000000,271000000,901000000,462000000,,,36871000000,7056000000,0,,,29815000000,26588000000,,3227000000,,,1.34,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080101,20080930,77511000000,77511000000,,,,,,,,47691000000,37570000000,,,,,,,,,,,1676000000,493000000,5387000000,2286000000,279000000,,,63000000,431000000,403000000,,,,,,,,30314000000,125000000,323000000,87000000,,,30116000000,5237000000,,,,24879000000,21938000000,,2941000000,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080101,20080630,49282000000,49282000000,,,,,,,,29940000000,23830000000,,,,,,,,,,,1041000000,320000000,3029000000,1521000000,199000000,,,50000000,334000000,316000000,,,,,,,,19726000000,71000000,268000000,78000000,,,19529000000,3504000000,,,,16025000000,14146000000,,1879000000,,,0.71,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080101,20080331,23788000000,23788000000,,,,,,,,15159000000,11682000000,,,,,,,,,,,493000000,202000000,1499000000,1166000000,117000000,,,119000000,81000000,,,,,,,,,8829000000,26000000,28000000,,,,8827000000,1492000000,,,,7335000000,6493000000,,842000000,,,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070101,20071231,82107000000,82107000000,,,,,,,,53069000000,40716000000,,,,,,,,,,,1832000000,522000000,6624000000,2666000000,709000000,,,283000000,638000000,567000000,,,,,,,,29959000000,209000000,539000000,326000000,,,29629000000,6481000000,,,,23148000000,19766000000,,3382000000,,,1.07,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070101,20070930,60083000000,60083000000,0,0,0,0,0,,,37797000000,29256000000,0,0,0,0,0,0,0,0,0,0,1353000000,388000000,4299000000,2025000000,476000000,,,-109000000,455000000,412000000,0,0,0,0,0,,,22632000000,147000000,282000000,168000000,,,22497000000,4828000000,0,,,17669000000,14921000000,,2748000000,,,0.83,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070101,20070630,38331000000,38331000000,0,0,0,0,0,,,23621000000,18398000000,0,0,0,0,0,0,0,0,0,0,856000000,204000000,2674000000,1170000000,319000000,,,-109000000,219000000,185000000,0,0,0,0,0,,,14820000000,104000000,210000000,106000000,,,14714000000,2985000000,0,,,11729000000,9806000000,,1923000000,,,0.54,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060101,20061231,64240000000,64240000000,,,,,,,,40132000000,30137000000,,,,,,,,,,,1505000000,434000000,5769000000,2077000000,210000000,,,-23000000,470000000,466000000,,,,,,,,24555000000,206000000,377000000,219000000,,,24384000000,5231000000,,,,19153000000,16436000000,15000000,2717000000,,,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20060101,20060630,29533000000,29533000000,0,0,0,0,0,,,18172000000,13627000000,0,0,0,0,0,0,0,0,0,0,714000000,185000000,2447000000,1197000000,2000000,,,-25000000,137000000,130000000,0,0,0,0,0,,,11473000000,33000000,85000000,52000000,,,11421000000,2231000000,0,,,9190000000,8069000000,,1121000000,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050101,20051231,52242000000,52242000000,0,0,0,0,0,,,31214000000,23134000000,0,0,0,0,0,0,0,0,0,0,1218000000,500000000,4597000000,1692000000,73000000,,,-368000000,452000000,440000000,0,0,0,0,0,,,21112000000,163000000,273000000,198000000,,,21002000000,3953000000,0,,,17049000000,14700000000,,2349000000,,,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040101,20041231,39267000000,39267000000,0,0,0,0,0,,,27713000000,20209000000,0,0,0,0,0,0,0,0,0,0,828000000,295000000,3639000000,2503000000,239000000,,,145000000,189000000,178000000,0,0,0,0,0,,,11888000000,129000000,194000000,79000000,,,11823000000,2479000000,0,,,9344000000,7887000000,,1457000000,,,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
